locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLNMODBO_02276	CDS	411	rsbV_1		COG1366	Anti-sigma-B factor antagonist
PLNMODBO_02277	CDS	576	sigK_1		COG1595	ECF RNA polymerase sigma factor SigK
PLNMODBO_02278	CDS	1401				hypothetical protein
PLNMODBO_02279	CDS	873	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
PLNMODBO_02280	CDS	450				hypothetical protein
PLNMODBO_02281	CDS	1335				hypothetical protein
PLNMODBO_02282	CDS	1824				hypothetical protein
PLNMODBO_02283	CDS	1392				hypothetical protein
PLNMODBO_02284	CDS	672				hypothetical protein
PLNMODBO_02285	CDS	858	btuD_13	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PLNMODBO_02286	CDS	1668				hypothetical protein
PLNMODBO_02287	CDS	486				hypothetical protein
PLNMODBO_02288	CDS	969				hypothetical protein
PLNMODBO_02289	CDS	873		3.1.1.10		Tropinesterase
PLNMODBO_02290	CDS	693	ideR		COG1321	Iron-dependent repressor IdeR
PLNMODBO_02291	CDS	759				hypothetical protein
PLNMODBO_02292	CDS	1386				hypothetical protein
PLNMODBO_02293	CDS	696	pdxH_1	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
PLNMODBO_02294	CDS	1098	citA_3	2.3.3.16	COG0372	Putative citrate synthase 2
PLNMODBO_02295	CDS	423				hypothetical protein
PLNMODBO_02296	CDS	999				hypothetical protein
PLNMODBO_02297	CDS	627	cymR			HTH-type transcriptional regulator CymR
PLNMODBO_02298	CDS	792	fadB	4.2.1.17	COG1024	putative enoyl-CoA hydratase
PLNMODBO_02299	CDS	1593	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
PLNMODBO_02300	CDS	1170		1.3.99.-	COG1960	Acyl-CoA dehydrogenase fadE12
PLNMODBO_02301	CDS	1899	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
PLNMODBO_02302	CDS	1599	pccB_2	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
PLNMODBO_02303	CDS	1713				hypothetical protein
PLNMODBO_02304	CDS	798				putative protein
PLNMODBO_02305	CDS	522				hypothetical protein
PLNMODBO_02306	CDS	891				hypothetical protein
PLNMODBO_02307	CDS	1005	drrA_4	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
PLNMODBO_02308	CDS	792	drrB_3			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
PLNMODBO_02309	CDS	1245		1.14.15.11	COG2124	Pentalenic acid synthase
PLNMODBO_02310	CDS	234	subB_1			Ferredoxin-2
PLNMODBO_02311	CDS	1005	rhtA_2		COG5006	Threonine/homoserine exporter RhtA
PLNMODBO_02312	CDS	900	hcaR_1			Hca operon transcriptional activator HcaR
PLNMODBO_02313	CDS	2871			COG0247	putative protein
PLNMODBO_02314	CDS	1359	mcrA	1.5.3.-		Mitomycin radical oxidase
PLNMODBO_02315	CDS	1080				hypothetical protein
PLNMODBO_02316	CDS	1119	serC_1	2.6.1.52	COG1932	Phosphoserine aminotransferase
PLNMODBO_02317	CDS	825	drrB_4			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
PLNMODBO_02318	CDS	1014	drrA_5	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
PLNMODBO_02319	CDS	768				hypothetical protein
PLNMODBO_02320	CDS	1002				hypothetical protein
PLNMODBO_02321	CDS	690				hypothetical protein
PLNMODBO_02322	CDS	165	tas_1		COG0667	Protein tas
PLNMODBO_02323	CDS	990	yajO_4	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
PLNMODBO_02324	CDS	582				hypothetical protein
PLNMODBO_02325	CDS	405	tas_2		COG0667	Protein tas
PLNMODBO_02326	CDS	567	thpR_3	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
PLNMODBO_02327	CDS	1407	entS_3			Enterobactin exporter EntS
PLNMODBO_02328	CDS	450			COG1846	putative HTH-type transcriptional regulator
PLNMODBO_02329	CDS	189				hypothetical protein
PLNMODBO_02330	CDS	1470	pbuG		COG2252	Guanine/hypoxanthine permease PbuG
PLNMODBO_02331	CDS	282				hypothetical protein
PLNMODBO_02332	CDS	2394	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
PLNMODBO_02333	CDS	309				hypothetical protein
PLNMODBO_02334	CDS	3279				hypothetical protein
PLNMODBO_02335	CDS	924				putative protein
PLNMODBO_02336	CDS	1500			COG0477	putative protein
PLNMODBO_02337	CDS	513				hypothetical protein
PLNMODBO_02338	CDS	756	mqnB	3.2.2.26	COG0775	Futalosine hydrolase
PLNMODBO_02339	CDS	852	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
PLNMODBO_02340	CDS	384				hypothetical protein
PLNMODBO_02341	CDS	204				hypothetical protein
PLNMODBO_02342	CDS	675	gph_5	3.1.3.18		Phosphoglycolate phosphatase
PLNMODBO_02343	CDS	1020	yfiZ_1		COG0609	putative siderophore transport system permease protein YfiZ
PLNMODBO_02344	CDS	1089	yfhA		COG0609	putative siderophore transport system permease protein YfhA
PLNMODBO_02345	CDS	876	yusV_2		COG1120	putative siderophore transport system ATP-binding protein YusV
PLNMODBO_02346	CDS	1065				hypothetical protein
PLNMODBO_02347	CDS	1290				hypothetical protein
PLNMODBO_02348	tRNA	95				tRNA-Gly(tcc)
PLNMODBO_02349	CDS	630				hypothetical protein
PLNMODBO_02350	CDS	1644				hypothetical protein
PLNMODBO_02351	CDS	1338		2.4.1.-		Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase
PLNMODBO_02352	CDS	204				hypothetical protein
PLNMODBO_02353	CDS	2058				hypothetical protein
PLNMODBO_02354	CDS	705	cutC		COG3142	Copper homeostasis protein CutC
PLNMODBO_02355	CDS	801				hypothetical protein
PLNMODBO_02356	CDS	810			COG3336	putative protein
PLNMODBO_02357	CDS	471				hypothetical protein
PLNMODBO_02358	CDS	1224	ydhP_2		COG2814	Inner membrane transport protein YdhP
PLNMODBO_02359	CDS	273				hypothetical protein
PLNMODBO_02360	CDS	363				hypothetical protein
PLNMODBO_02361	CDS	948	rpiR		COG1737	HTH-type transcriptional regulator RpiR
PLNMODBO_02362	CDS	960	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
PLNMODBO_02363	CDS	1587				PTS system EIIBC component
PLNMODBO_02364	CDS	1479	alsT		COG1115	Amino-acid carrier protein AlsT
PLNMODBO_02365	CDS	876		1.1.1.119	COG1028	Glucose 1-dehydrogenase
PLNMODBO_02366	CDS	1626	groL2			60 kDa chaperonin 2
PLNMODBO_02367	CDS	204	cspA		COG1278	putative cold shock protein A
PLNMODBO_02368	CDS	279	cysO_1		COG1977	Sulfur carrier protein CysO
PLNMODBO_02369	CDS	1290				hypothetical protein
PLNMODBO_02370	CDS	948	gpgS	2.4.1.266	COG0463	Glucosyl-3-phosphoglycerate synthase
PLNMODBO_02371	CDS	1461	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
PLNMODBO_02372	CDS	858	otsB	3.1.3.12	COG0637	Trehalose-phosphate phosphatase
PLNMODBO_02373	CDS	270				hypothetical protein
PLNMODBO_02374	CDS	1275				hypothetical protein
PLNMODBO_02375	CDS	894	nanK_1	2.7.1.60		N-acetylmannosamine kinase
PLNMODBO_02376	CDS	1209	agaA_1	3.5.1.-	COG1820	N-acetylgalactosamine-6-phosphate deacetylase
PLNMODBO_02377	CDS	930	lacC_1	2.7.1.144		Tagatose-6-phosphate kinase
PLNMODBO_02378	CDS	963				hypothetical protein
PLNMODBO_02379	CDS	1689				hypothetical protein
PLNMODBO_02380	CDS	501	ctcQ	1.5.1.36		Flavin reductase (NADH)
PLNMODBO_02381	CDS	438	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
PLNMODBO_02382	CDS	576	yceD_2		COG2310	General stress protein 16U
PLNMODBO_02383	CDS	435				hypothetical protein
PLNMODBO_02384	CDS	1461				hypothetical protein
PLNMODBO_02385	CDS	180				hypothetical protein
PLNMODBO_02386	CDS	1359				hypothetical protein
PLNMODBO_02387	CDS	498				hypothetical protein
PLNMODBO_02388	CDS	738				hypothetical protein
PLNMODBO_02389	CDS	1278				hypothetical protein
PLNMODBO_02390	CDS	999		1.3.1.103		2-haloacrylate reductase
PLNMODBO_02391	CDS	1095	pepE	3.4.13.-	COG0006	putative dipeptidase PepE
PLNMODBO_02392	CDS	873				hypothetical protein
PLNMODBO_02393	tRNA	75				tRNA-Thr(tgt)
PLNMODBO_02394	CDS	1137	msiK	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
PLNMODBO_02395	CDS	420				hypothetical protein
PLNMODBO_02396	CDS	726	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
PLNMODBO_02397	CDS	1638				hypothetical protein
PLNMODBO_02398	CDS	954		2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase
PLNMODBO_02399	CDS	1395	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
PLNMODBO_02400	CDS	405				hypothetical protein
PLNMODBO_02401	CDS	507	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
PLNMODBO_02402	CDS	786	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PLNMODBO_02403	CDS	483	carD		COG1329	RNA polymerase-binding transcription factor CarD
PLNMODBO_02404	CDS	660				hypothetical protein
PLNMODBO_02405	CDS	681	regX3_1		COG0745	Sensory transduction protein regX3
PLNMODBO_02406	CDS	1269	sasA_8	2.7.-.-		Adaptive-response sensory-kinase SasA
PLNMODBO_02407	CDS	678	phoU2		COG0704	Phosphate-specific transport system accessory protein PhoU 
PLNMODBO_02408	CDS	114				hypothetical protein
PLNMODBO_02409	CDS	1848	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
PLNMODBO_02410	CDS	762	gpmA_2	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
PLNMODBO_02411	CDS	1296				hypothetical protein
PLNMODBO_02412	CDS	495				putative protein
PLNMODBO_02413	CDS	1395	mshA_3	2.4.1.250	COG0438	D-inositol 3-phosphate glycosyltransferase
PLNMODBO_02414	CDS	813				hypothetical protein
PLNMODBO_02415	CDS	846				hypothetical protein
PLNMODBO_02416	CDS	1008	yajO_5	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
PLNMODBO_02417	CDS	423				18 kDa heat shock protein
PLNMODBO_02418	CDS	327				hypothetical protein
PLNMODBO_02419	CDS	429	mutT1	3.6.1.55	COG0406	putative 8-oxo-dGTP diphosphatase 1
PLNMODBO_02420	CDS	1206				hypothetical protein
PLNMODBO_02421	CDS	2382	ppk	2.7.4.1	COG0855	Polyphosphate kinase
PLNMODBO_02422	CDS	318				hypothetical protein
PLNMODBO_02423	CDS	483				hypothetical protein
PLNMODBO_02424	CDS	885				hypothetical protein
PLNMODBO_02425	CDS	948	mshD_2	2.3.1.189	COG0456	Mycothiol acetyltransferase
PLNMODBO_02426	CDS	1833			COG0737	Cell wall protein
PLNMODBO_02427	CDS	930				hypothetical protein
PLNMODBO_02428	CDS	522				hypothetical protein
PLNMODBO_02429	CDS	717				hypothetical protein
PLNMODBO_02430	CDS	216				hypothetical protein
PLNMODBO_02431	CDS	435				hypothetical protein
PLNMODBO_02432	CDS	198				hypothetical protein
PLNMODBO_02433	CDS	858				hypothetical protein
PLNMODBO_02434	CDS	459				hypothetical protein
PLNMODBO_02435	CDS	855	azoB_3	1.7.-.-		NAD(P)H azoreductase
PLNMODBO_02436	CDS	1374				hypothetical protein
PLNMODBO_02437	CDS	1500	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
PLNMODBO_02438	CDS	738	mprA_2		COG0745	Response regulator MprA
PLNMODBO_02439	CDS	303				hypothetical protein
PLNMODBO_02440	CDS	1146				hypothetical protein
PLNMODBO_02441	CDS	1071	ccpA_2		COG1609	Catabolite control protein A
PLNMODBO_02442	CDS	840				hypothetical protein
PLNMODBO_02443	CDS	873				hypothetical protein
PLNMODBO_02444	CDS	1965		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
PLNMODBO_02445	CDS	1695			COG1132	putative ABC transporter ATP-binding protein
PLNMODBO_02446	CDS	264				hypothetical protein
PLNMODBO_02447	CDS	1575				hypothetical protein
PLNMODBO_02448	CDS	711				hypothetical protein
PLNMODBO_02449	CDS	846		2.8.1.1	COG2897	Putative thiosulfate sulfurtransferase
PLNMODBO_02450	CDS	288	sseC2			putative protein
PLNMODBO_02451	CDS	282				hypothetical protein
PLNMODBO_02452	CDS	366				hypothetical protein
PLNMODBO_02453	CDS	102				hypothetical protein
PLNMODBO_02454	CDS	564				hypothetical protein
PLNMODBO_02455	CDS	1101	btuC_1			Vitamin B12 import system permease protein BtuC
PLNMODBO_02456	CDS	795	fecE_1		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
PLNMODBO_02457	CDS	1041	yclQ		COG4607	Petrobactin-binding protein YclQ
PLNMODBO_02458	CDS	480	fur		COG0735	Ferric uptake regulation protein
PLNMODBO_02459	CDS	981	gcvT_2	2.1.2.10		Aminomethyltransferase
PLNMODBO_02460	CDS	435	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
PLNMODBO_02461	CDS	549				hypothetical protein
PLNMODBO_02462	CDS	981				hypothetical protein
PLNMODBO_02463	CDS	1242	eis_1	2.3.1.-		N-acetyltransferase Eis
PLNMODBO_02464	CDS	432				hypothetical protein
PLNMODBO_02465	CDS	567	chrR_1	1.6.5.2	COG0431	Quinone reductase
PLNMODBO_02466	CDS	360	yybR_1		COG1733	putative HTH-type transcriptional regulator YybR
PLNMODBO_02467	CDS	216				hypothetical protein
PLNMODBO_02468	CDS	1362		1.13.11.-	COG3670	Carotenoid cleavage oxygenase
PLNMODBO_02469	CDS	861	prmC_3	2.1.1.297		Release factor glutamine methyltransferase
PLNMODBO_02470	CDS	1035				hypothetical protein
PLNMODBO_02471	CDS	2391	uvrA_1			UvrABC system protein A
PLNMODBO_02472	CDS	414				hypothetical protein
PLNMODBO_02473	tRNA	81				tRNA-Ser(gct)
PLNMODBO_02474	CDS	369				hypothetical protein
PLNMODBO_02475	CDS	561		2.3.1.-	COG1670	Acetyltransferase
PLNMODBO_02476	CDS	375				hypothetical protein
PLNMODBO_02477	CDS	381	yybR_2		COG1733	putative HTH-type transcriptional regulator YybR
PLNMODBO_02478	CDS	927		1.3.1.103		2-haloacrylate reductase
PLNMODBO_02479	CDS	1224	mycG_3	1.14.-.-		Mycinamicin IV hydroxylase/epoxidase
PLNMODBO_02480	CDS	426			COG1396	putative HTH-type transcriptional regulator
PLNMODBO_02481	CDS	594				hypothetical protein
PLNMODBO_02482	CDS	351				hypothetical protein
PLNMODBO_02483	CDS	1326				hypothetical protein
PLNMODBO_02484	CDS	1191				hypothetical protein
PLNMODBO_02485	CDS	123				hypothetical protein
PLNMODBO_02486	CDS	1128	pstS3		COG0226	Phosphate-binding protein PstS 3
PLNMODBO_02487	CDS	996	pstC2		COG0573	Phosphate transport system permease protein PstC 2
PLNMODBO_02488	CDS	1080				hypothetical protein
PLNMODBO_02489	CDS	777	pstB1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 1
PLNMODBO_02490	CDS	999				hypothetical protein
PLNMODBO_02491	CDS	621				hypothetical protein
PLNMODBO_02492	CDS	402				hypothetical protein
PLNMODBO_02493	CDS	189				hypothetical protein
PLNMODBO_02494	CDS	984				hypothetical protein
PLNMODBO_02495	CDS	1587	yvdP	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
PLNMODBO_02496	CDS	228				hypothetical protein
PLNMODBO_02497	CDS	684	bcrC	3.6.1.27	COG0671	Undecaprenyl-diphosphatase BcrC
PLNMODBO_02498	CDS	1005				hypothetical protein
PLNMODBO_02499	CDS	432				hypothetical protein
PLNMODBO_02500	CDS	882				hypothetical protein
PLNMODBO_02501	CDS	201				hypothetical protein
PLNMODBO_02502	CDS	198				hypothetical protein
PLNMODBO_02503	CDS	222				hypothetical protein
PLNMODBO_02504	CDS	357				hypothetical protein
PLNMODBO_02505	CDS	846				hypothetical protein
PLNMODBO_02506	CDS	1395				hypothetical protein
PLNMODBO_02507	CDS	1563				hypothetical protein
PLNMODBO_02508	CDS	1431				hypothetical protein
PLNMODBO_02509	CDS	1611				hypothetical protein
PLNMODBO_02510	CDS	543	mshD_3	2.3.1.189		Mycothiol acetyltransferase
PLNMODBO_02511	rRNA	111				5S ribosomal RNA
PLNMODBO_02512	rRNA	3120				23S ribosomal RNA
PLNMODBO_02513	rRNA	1524				16S ribosomal RNA
PLNMODBO_02514	CDS	1023	trpS_2	6.1.1.2	COG0180	Tryptophan--tRNA ligase
PLNMODBO_02515	CDS	810	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
PLNMODBO_02516	CDS	759				hypothetical protein
PLNMODBO_02517	CDS	1104	btuD_14	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PLNMODBO_02518	CDS	381				hypothetical protein
PLNMODBO_02519	CDS	1542				hypothetical protein
PLNMODBO_02520	CDS	1410	pepN_2	3.4.11.2	COG0308	Aminopeptidase N
PLNMODBO_02521	CDS	852				hypothetical protein
PLNMODBO_02522	CDS	441				hypothetical protein
PLNMODBO_02523	CDS	519				hypothetical protein
PLNMODBO_02524	CDS	747				hypothetical protein
PLNMODBO_02525	CDS	381				hypothetical protein
PLNMODBO_02526	CDS	2376	pknD_3	2.7.11.1		Serine/threonine-protein kinase PknD
PLNMODBO_02527	CDS	1881	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
PLNMODBO_02528	CDS	630				hypothetical protein
PLNMODBO_02529	CDS	810			COG1082	putative protein
PLNMODBO_02530	CDS	933	ppx1_2	3.6.1.11	COG0248	Exopolyphosphatase 1
PLNMODBO_02531	CDS	834				putative protein
PLNMODBO_02532	CDS	1845				hypothetical protein
PLNMODBO_02533	CDS	1443	radA	3.6.4.-	COG1066	DNA repair protein RadA
PLNMODBO_02534	CDS	1059	disA	2.7.7.85	COG1623	DNA integrity scanning protein DisA
PLNMODBO_02535	CDS	999				hypothetical protein
PLNMODBO_02536	CDS	828				hypothetical protein
PLNMODBO_02537	CDS	585				hypothetical protein
PLNMODBO_02538	CDS	483				hypothetical protein
PLNMODBO_02539	CDS	951	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
PLNMODBO_02540	CDS	786				hypothetical protein
PLNMODBO_02541	CDS	858				hypothetical protein
PLNMODBO_02542	CDS	711	cseB		COG0745	Transcriptional regulatory protein CseB
PLNMODBO_02543	CDS	1302	cseC_2	2.7.13.3	COG0642	Sensor protein CseC
PLNMODBO_02544	CDS	456				hypothetical protein
PLNMODBO_02545	CDS	570	rhaR_1			HTH-type transcriptional activator RhaR
PLNMODBO_02546	CDS	1614	bmr3_1			Multidrug resistance protein 3
PLNMODBO_02547	CDS	606				hypothetical protein
PLNMODBO_02548	CDS	690				hypothetical protein
PLNMODBO_02549	CDS	2613				hypothetical protein
PLNMODBO_02550	CDS	2520	clpC1		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpC1
PLNMODBO_02551	CDS	699				hypothetical protein
PLNMODBO_02552	CDS	348	lsr2_1			Nucleoid-associated protein Lsr2
PLNMODBO_02553	CDS	519	argA	2.3.1.1	COG1246	Amino-acid acetyltransferase
PLNMODBO_02554	CDS	456				hypothetical protein
PLNMODBO_02555	CDS	180				hypothetical protein
PLNMODBO_02556	CDS	627				hypothetical protein
PLNMODBO_02557	CDS	798	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
PLNMODBO_02558	CDS	1017				hypothetical protein
PLNMODBO_02559	CDS	1842	nadB	1.4.3.16	COG0029	L-aspartate oxidase
PLNMODBO_02560	CDS	1026	panC	6.3.2.1		Pantothenate synthetase
PLNMODBO_02561	CDS	978				hypothetical protein
PLNMODBO_02562	CDS	201				hypothetical protein
PLNMODBO_02563	CDS	1119				hypothetical protein
PLNMODBO_02564	CDS	711				hypothetical protein
PLNMODBO_02565	CDS	1038	mmcR	2.1.1.316		Mitomycin biosynthesis 6-O-methyltransferase
PLNMODBO_02566	CDS	687	degU_4		COG2197	Transcriptional regulatory protein DegU
PLNMODBO_02567	CDS	1212				hypothetical protein
PLNMODBO_02568	CDS	1020				hypothetical protein
PLNMODBO_02569	CDS	1143	ndhH	7.1.1.-	COG0649	NAD(P)H-quinone oxidoreductase subunit H
PLNMODBO_02570	CDS	561				hypothetical protein
PLNMODBO_02571	CDS	702		2.8.3.-	COG1670	Putative succinyl-CoA transferase
PLNMODBO_02572	CDS	624	betI_5		COG1309	HTH-type transcriptional regulator BetI
PLNMODBO_02573	CDS	510				hypothetical protein
PLNMODBO_02574	CDS	549				hypothetical protein
PLNMODBO_02575	CDS	1260	pbuE_2		COG2814	Purine efflux pump PbuE
PLNMODBO_02576	CDS	1410				hypothetical protein
PLNMODBO_02577	CDS	1044				hypothetical protein
PLNMODBO_02578	CDS	729	opuCB_1		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
PLNMODBO_02579	CDS	735	opuBB_1		COG1174	Choline transport system permease protein OpuBB
PLNMODBO_02580	CDS	1224	opuCA		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
PLNMODBO_02581	CDS	492				hypothetical protein
PLNMODBO_02582	CDS	594				hypothetical protein
PLNMODBO_02583	CDS	360	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
PLNMODBO_02584	CDS	489				hypothetical protein
PLNMODBO_02585	CDS	921	folP1	2.5.1.15	COG0294	Dihydropteroate synthase
PLNMODBO_02586	CDS	1845				hypothetical protein
PLNMODBO_02587	CDS	1116				hypothetical protein
PLNMODBO_02588	CDS	606	folE_2	3.5.4.16	COG0302	GTP cyclohydrolase 1
PLNMODBO_02589	CDS	2016	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
PLNMODBO_02590	CDS	594	hpt	2.4.2.8	COG0634	Hypoxanthine-guanine phosphoribosyltransferase
PLNMODBO_02591	CDS	1083	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
PLNMODBO_02592	CDS	1155				hypothetical protein
PLNMODBO_02593	CDS	1629				hypothetical protein
PLNMODBO_02594	CDS	498	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
PLNMODBO_02595	CDS	1800				hypothetical protein
PLNMODBO_02596	CDS	720			COG0586	putative membrane protein
PLNMODBO_02597	CDS	372				hypothetical protein
PLNMODBO_02598	CDS	759	tipA_3			HTH-type transcriptional activator TipA
PLNMODBO_02599	CDS	675	leuE_1		COG1280	Leucine efflux protein
PLNMODBO_02600	CDS	411				hypothetical protein
PLNMODBO_02601	CDS	849				hypothetical protein
PLNMODBO_02602	CDS	429				hypothetical protein
PLNMODBO_02603	CDS	474				hypothetical protein
PLNMODBO_02604	CDS	1050	tcmN	2.1.1.-		Multifunctional cyclase-dehydratase-3-O-methyl transferase TcmN
PLNMODBO_02605	CDS	663		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
PLNMODBO_02606	CDS	1413	gadA	4.1.1.15	COG0076	Glutamate decarboxylase
PLNMODBO_02607	CDS	663				hypothetical protein
PLNMODBO_02608	CDS	738				hypothetical protein
PLNMODBO_02609	CDS	369				hypothetical protein
PLNMODBO_02610	CDS	546				hypothetical protein
PLNMODBO_02611	CDS	1461	yfmT	1.2.1.28	COG1012	Benzaldehyde dehydrogenase YfmT
PLNMODBO_02612	CDS	864				hypothetical protein
PLNMODBO_02613	CDS	498				hypothetical protein
PLNMODBO_02614	CDS	240				hypothetical protein
PLNMODBO_02615	CDS	237	rpsR1_1		COG0238	30S ribosomal protein S18 1
PLNMODBO_02616	CDS	1236	yciC_2		COG0523	Putative metal chaperone YciC
PLNMODBO_02617	CDS	255	rpmE2		COG0254	50S ribosomal protein L31 type B
PLNMODBO_02618	CDS	165	rpmG2_1		COG0267	50S ribosomal protein L33 2
PLNMODBO_02619	CDS	237	rpmB_2		COG0227	50S ribosomal protein L28
PLNMODBO_02620	CDS	306	rpsN		COG0199	30S ribosomal protein S14
PLNMODBO_02621	CDS	597				hypothetical protein
PLNMODBO_02622	CDS	846	nadE_2	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
PLNMODBO_02623	CDS	768		3.3.2.10		Soluble epoxide hydrolase
PLNMODBO_02624	CDS	1122				hypothetical protein
PLNMODBO_02625	CDS	312				hypothetical protein
PLNMODBO_02626	CDS	1668				hypothetical protein
PLNMODBO_02627	CDS	1059	aes	3.1.1.-		Acetyl esterase
PLNMODBO_02628	CDS	600				hypothetical protein
PLNMODBO_02629	CDS	732				hypothetical protein
PLNMODBO_02630	CDS	888	glpR_2		COG1349	Glycerol-3-phosphate regulon repressor
PLNMODBO_02631	CDS	420				hypothetical protein
PLNMODBO_02632	CDS	867	nhoA	2.3.1.118	COG2162	Arylamine N-acetyltransferase / N-hydroxyarylamine O-acetyltransferase
PLNMODBO_02633	CDS	1674				hypothetical protein
PLNMODBO_02634	CDS	879	btuD_15	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PLNMODBO_02635	CDS	450				hypothetical protein
PLNMODBO_02636	CDS	1224				hypothetical protein
PLNMODBO_02637	CDS	699	liaR_4		COG2197	Transcriptional regulatory protein LiaR
PLNMODBO_02638	CDS	894				hypothetical protein
PLNMODBO_02639	CDS	900				hypothetical protein
PLNMODBO_02640	CDS	234				hypothetical protein
PLNMODBO_02641	CDS	1428	gatA_2	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A
PLNMODBO_02642	CDS	627				hypothetical protein
PLNMODBO_02643	CDS	825	proC_2	1.5.1.2		Pyrroline-5-carboxylate reductase
PLNMODBO_02644	CDS	1023	rlmM	2.1.1.186		Ribosomal RNA large subunit methyltransferase M
PLNMODBO_02645	CDS	768	pikAV_2	3.1.2.-		Thioesterase PikA5
PLNMODBO_02646	CDS	219	mbtH_1		COG3251	Protein MbtH
PLNMODBO_02647	CDS	3852	dhbF_7		COG1020	Dimodular nonribosomal peptide synthase
PLNMODBO_02648	CDS	12423	dltA_6	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
PLNMODBO_02649	tRNA	86				tRNA-Arg(ccg)
PLNMODBO_02650	CDS	1731	bmrA_2	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
PLNMODBO_02651	CDS	2532	aac_2	3.5.1.-		Aculeacin-A acylase
PLNMODBO_02652	tRNA	77				tRNA-Thr(cgt)
PLNMODBO_02653	CDS	1602	caeB	3.1.1.-		Carboxylesterase B
PLNMODBO_02654	CDS	1230				hypothetical protein
PLNMODBO_02655	CDS	3228	tmk	2.7.4.9		Thymidylate kinase
PLNMODBO_02656	CDS	225				hypothetical protein
PLNMODBO_02657	CDS	2859	topA	5.6.2.1	COG0550	DNA topoisomerase 1
PLNMODBO_02658	CDS	435				hypothetical protein
PLNMODBO_02659	CDS	402				hypothetical protein
PLNMODBO_02660	CDS	192				hypothetical protein
PLNMODBO_02661	CDS	1545	prmC_4	2.1.1.297		Release factor glutamine methyltransferase
PLNMODBO_02662	CDS	600				hypothetical protein
PLNMODBO_02663	CDS	2397	hppA	7.1.3.1	COG3808	K(+)-insensitive pyrophosphate-energized proton pump
PLNMODBO_02664	CDS	474	rsbW_2	2.7.11.1		Serine-protein kinase RsbW
